-239.20	-146.28	244.72	
-239.20	-146.28	244.72	
-239.20	-146.28	244.72	
-249.32	-6.44	218.96	
-347.76	-180.32	153.64	
-347.76	-180.32	153.64	
-347.76	-180.32	153.64	
-347.76	-180.32	153.64	
-347.76	-180.32	153.64	
-339.48	-212.52	159.16	
-339.48	-213.44	157.32	
-338.56	-210.68	162.84	
-334.88	-209.76	164.68	
-335.80	-206.08	166.52	
-335.80	-206.08	166.52	
-335.80	-206.08	166.52	
-335.80	-206.08	166.52	
-335.80	-206.08	166.52	
-335.80	-206.08	166.52	
-335.80	-206.08	166.52	
-328.44	-208.84	175.72	
-328.44	-206.08	178.48	
-324.76	-201.48	183.08	
-321.08	-195.96	184.92	
-321.08	-195.96	184.92	
-321.08	-195.96	184.92	
-321.08	-195.96	184.92	
-321.08	-195.96	184.92	
-321.08	-195.96	184.92	
-321.08	-195.96	184.92	
-214.36	-180.32	274.16	
-207.00	-173.88	283.36	
-200.56	-172.96	284.28	
-169.28	-170.20	302.68	
-155.48	-171.12	302.68	
-155.48	-171.12	302.68	
-155.48	-171.12	302.68	
-155.48	-171.12	302.68	
-155.48	-171.12	302.68	
-155.48	-171.12	302.68	
-35.88	-184.92	340.40	
-16.56	-186.76	344.08	
16.56	-201.48	353.28	
34.04	-206.08	345.92	
44.16	-209.76	348.68	
44.16	-209.76	348.68	
44.16	-209.76	348.68	
44.16	-209.76	348.68	
44.16	-209.76	348.68	
44.16	-209.76	348.68	
177.56	-202.40	342.24	
205.16	-195.96	340.40	
231.84	-194.12	327.52	
249.32	-197.80	328.44	
253.92	-196.88	320.16	
253.92	-196.88	320.16	
253.92	-196.88	320.16	
253.92	-196.88	320.16	
253.92	-196.88	320.16	
253.92	-196.88	320.16	
353.28	-207.00	276.92	
366.16	-207.92	267.72	
368.92	-218.96	264.96	
378.12	-230.00	263.12	
410.32	-225.40	233.68	
410.32	-225.40	233.68	
410.32	-225.40	233.68	
410.32	-225.40	233.68	
410.32	-225.40	233.68	
410.32	-225.40	233.68	
410.32	-225.40	233.68	
512.44	-239.20	104.88	
517.04	-242.88	98.44	
528.08	-243.80	75.44	
536.36	-245.64	49.68	
536.36	-245.64	49.68	
536.36	-245.64	49.68	
536.36	-245.64	49.68	
536.36	-245.64	49.68	
536.36	-245.64	49.68	
